"#",,Surname,Name,City/Nation,Role,Constituted on,Appointing Authority,Case,Note
28,VESCOVI*,ALEX,Caravaggio (BG),Chair,12/05/2021,Chair of Chamber of Arbitration,CLOSED,*appointment repeated due to consolidated cases
"",DE NOVA,GIORGIO,Milano (MI),Co-Arbitrator,14/05/2021,Claimant,PENDING,
"",VERZONI,STEFANO,Milano (MI),Co-Arbitrator,14/05/2021,Respondent,PENDING,
29,GABRIELLI,ENRICO,Roma (RM),Chair,14/05/2021,Co-Arbitrators,PENDING,
"",BUCCOMINO,GIOVANNI,Milano (MI),Co-Arbitrator,20/05/2021,Claimant,CLOSED,
"",LANZA,ANTONELLA,Milano (MI),Co-Arbitrator,20/05/2021,Respondent,CLOSED,
30,PEZONE,FRANCESCO,Torino (TO),Chair,20/05/2021,Arbitral Council,CLOSED,
31,PICCINELLI,FABIO,Mantova (MN),Sole Arbitrator,20/05/2021,Arbitral Council,PENDING,
"",PAVESIO,CARLO,Torino (TO),Co-Arbitrator,21/05/2021,Arbitral Council,PENDING,
"",STANGHELLINI,LORENZO,Firenze (FI),Co-Arbitrator,21/05/2021,Arbitral Council,PENDING,
32,JARROSSON,CHARLES,Parigi (FR),Chair,21/05/2021,Arbitral Council,PENDING,
33,DUVIA,PAOLO,Milano (MI),Sole Arbitrator,27/05/2021,Arbitral Council,CLOSED,
34,FRIGENI,CLAUDIO,Milano (MI),Sole Arbitrator,07/06/2021,Arbitral Council,CLOSED,
"",ABRIANI,NICCOLÒ,Firenze (FI),Co-Arbitrator,09/06/2021,Claimant,PENDING,
"",RESCIGNO,MATTEO,Milano (MI),Co-Arbitrator,09/06/2021,Respondent,PENDING,
35,GOUIFFES,LAURENT,Parigi (FR),Chair,09/06/2021,Arbitral Council,PENDING,
"",DEL PUNTA,RICCARDO,Firenze (FI),Co-Arbitrator,11/06/2021,Claimant,CLOSED,
"",SCORTI,SIMONA MARIA,Caronno Pertusella (VA),Co-Arbitrator,11/06/2021,Respondent,CLOSED,
36,GUACCERO,ANDREA,Roma (RM),Chair,11/06/2021,Chair of Arbitral Council,CLOSED,
37,PIEMONTE,JACOPO,Milano (MI),Sole Arbitrator,24/06/2021,Arbitral Council,CLOSED,
"",CAVALLONE,BRUNO,Milano (MI),Co-Arbitrator,29/06/2021,Claimant,PENDING,
"",VICARI,ANDREA,Milano (MI),Co-Arbitrator,29/06/2021,Respondent,PENDING,
38,CARPINELLI,MICHELE,Milano (MI),Chair,29/06/2021,Arbitral Council,PENDING,
"",ROPPO,VINCENZO,Genova (GE),Co-Arbitrator,08/07/2021,Claimant,PENDING,
"",VILLA,GIANROBERTO,Milano (MI),Co-Arbitrator,08/07/2021,Respondent,PENDING,
39,PRESTI,GAETANO,Milano (MI),Chair,08/07/2021,Co-Arbitrators,PENDING,
"",ROPPO*,VINCENZO,Genova (GE),Co-Arbitrator,08/07/2021,Claimant,PENDING,*appointment repeated due to connected cases
"",VILLA*,GIANROBERTO,Milano (MI),Co-Arbitrator,08/07/2021,Respondent,PENDING,*appointment repeated due to connected cases
40,PRESTI*,GAETANO,Milano (MI),Chair,08/07/2021,Co-Arbitrators,PENDING,*appointment repeated due to connected cases
41,MONACI NALDINI,JACOPO,Firenze (FI),Sole Arbitrator,09/07/2021,Arbitral Council,CLOSED,
42,CAPPELLO,LAURA,Roma (RM),Sole Arbitrator,12/07/2021,Arbitral Council,PENDING,
43,FRANCESCHINI,CHIARA,Brescia (BS),Sole Arbitrator,15/07/2021,Arbitral Council,CLOSED,
"",GAMBERINI,ALBERTO,Ravenna (RA),Co-Arbitrator,22/07/2021,Claimant,PENDING,
"",ZACCHEO,MASSIMO,Roma (RM),Co-Arbitrator,22/07/2021,Respondent,PENDING,
